region,date,precipitation_mm
AMZ01,01/03/2012,346.354671
AMZ01,01/04/2012,342.1779122
AMZ01,01/05/2012,252.5727613
AMZ01,01/06/2012,135.936646
AMZ01,01/07/2012,182.4568749
AMZ01,01/08/2012,99.31737511
AMZ01,01/09/2012,39.46854315
AMZ01,01/10/2012,41.02520661
AMZ01,01/11/2012,35.99025324
AMZ01,01/12/2012,156.941565
AMZ01,01/01/2013,200.3911545
AMZ01,01/02/2013,324.5216953
AMZ01,01/03/2013,334.7647314
AMZ01,01/04/2013,359.1112583
AMZ01,01/05/2013,378.0036016
AMZ01,01/06/2013,169.6335843
AMZ01,01/07/2013,212.5560815
AMZ01,01/08/2013,148.6944385
AMZ01,01/09/2013,72.88738769
AMZ01,01/10/2013,61.06567048
AMZ01,01/11/2013,87.94597206
AMZ01,01/12/2013,141.7820847
AMZ01,01/01/2014,195.5130292
AMZ01,01/02/2014,371.2020181
AMZ01,01/03/2014,266.4563954
AMZ01,01/04/2014,322.7632322
AMZ01,01/05/2014,325.9222507
AMZ01,01/06/2014,274.2928457
AMZ01,01/07/2014,176.6326992
AMZ01,01/08/2014,114.6115986
AMZ01,01/09/2014,36.40389943
AMZ01,01/10/2014,32.66853611
AMZ01,01/11/2014,31.44708771
AMZ01,01/12/2014,83.67799608
AMZ01,01/01/2015,178.5854331
AMZ01,01/02/2015,285.4755594
AMZ01,01/03/2015,368.2324831
AMZ01,01/04/2015,336.4307774
AMZ01,01/05/2015,322.362917
AMZ01,01/06/2015,226.153777
AMZ01,01/07/2015,155.3540945
AMZ01,01/08/2015,87.13705679
AMZ01,01/09/2015,22.17703647
AMZ01,01/10/2015,19.03744294
AMZ01,01/11/2015,24.59401801
AMZ01,01/12/2015,78.46253244
AMZ01,01/01/2016,92.85027442
AMZ01,01/02/2016,173.7826267
AMZ01,01/03/2016,394.6991264
AMZ01,01/04/2016,324.3405477
AMZ01,01/05/2016,293.1563268
AMZ01,01/06/2016,164.007485
AMZ01,01/07/2016,175.1298543
AMZ01,01/08/2016,89.94004646
AMZ01,01/09/2016,57.32975994
AMZ01,01/10/2016,45.06192634
AMZ01,01/11/2016,46.08060283
AMZ01,01/12/2016,242.2220191
AMZ01,01/01/2017,397.6820544
AMZ01,01/02/2017,283.0218204
