date,region,temperature_2m_K,AirTempAdjusted_K,AirTempAdjusted_oC
01/06/1997,AMZ01,298.3785853,299.3427021,26.1927021
01/07/1997,AMZ01,298.571318,299.3940183,26.2440183
01/08/1997,AMZ01,299.1343831,298.7811011,25.6311011
01/09/1997,AMZ01,300.7230418,299.0797025,25.9297025
01/10/1997,AMZ01,301.5363517,299.3695826,26.2195826
01/11/1997,AMZ01,300.8064846,298.9899077,25.8399077
01/12/1997,AMZ01,299.3119252,298.7680495,25.6180495
01/01/1998,AMZ01,298.6780241,299.5257643,26.3757643
01/02/1998,AMZ01,299.3404657,300.4176409,27.2676409
01/03/1998,AMZ01,298.613279,299.5401697,26.3901697
01/04/1998,AMZ01,298.8090783,299.7335987,26.5835987
01/05/1998,AMZ01,298.8766781,299.8373775,26.6873775
01/06/1998,AMZ01,298.3278979,299.2920147,26.1420147
01/07/1998,AMZ01,298.2618262,299.0845265,25.9345265
01/08/1998,AMZ01,299.7950299,299.4417479,26.2917479
01/09/1998,AMZ01,300.8751821,299.2318428,26.0818428
01/10/1998,AMZ01,301.2874582,299.1206891,25.9706891
01/11/1998,AMZ01,300.0272873,298.2107104,25.0607104
01/12/1998,AMZ01,299.260757,298.7168813,25.5668813
01/01/1999,AMZ01,297.1800352,298.0277754,24.8777754
01/02/1999,AMZ01,297.0928465,298.1700217,25.0200217
01/03/1999,AMZ01,297.4660134,298.3929041,25.2429041
01/04/1999,AMZ01,297.2784435,298.2029639,25.0529639
01/05/1999,AMZ01,296.7104458,297.6711452,24.5211452
01/06/1999,AMZ01,297.1098485,298.0739653,24.9239653
01/07/1999,AMZ01,297.4115536,298.2342539,25.0842539
01/08/1999,AMZ01,298.055913,297.702631,24.552631
01/09/1999,AMZ01,299.2627847,297.6194454,24.4694454
01/10/1999,AMZ01,299.721899,297.5551299,24.4051299
01/11/1999,AMZ01,300.3941531,298.5775762,25.4275762
01/12/1999,AMZ01,299.2284676,298.6845919,25.5345919
01/01/2000,AMZ01,296.8010598,297.6488,24.4988
01/02/2000,AMZ01,296.6979753,297.7751505,24.6251505
01/03/2000,AMZ01,296.8683291,297.7952198,24.6452198
01/04/2000,AMZ01,296.5587854,297.4833058,24.3333058
01/05/2000,AMZ01,297.0147326,297.975432,24.825432
01/06/2000,AMZ01,297.5176774,298.4817942,25.3317942
01/07/2000,AMZ01,297.2299233,298.0526236,24.9026236
01/08/2000,AMZ01,298.4205844,298.0673024,24.9173024
01/09/2000,AMZ01,299.4706596,297.8273203,24.6773203
01/10/2000,AMZ01,300.3808459,298.2140768,25.0640768
01/11/2000,AMZ01,300.3688443,298.5522674,25.4022674
01/12/2000,AMZ01,298.6431747,298.099299,24.949299
01/01/2001,AMZ01,296.4745193,297.3222595,24.1722595
01/02/2001,AMZ01,296.5936964,297.6708716,24.5208716
01/03/2001,AMZ01,297.2397937,298.1666844,25.0166844
01/04/2001,AMZ01,297.2237734,298.1482938,24.9982938
01/05/2001,AMZ01,297.5520962,298.5127956,25.3627956
01/06/2001,AMZ01,296.7465516,297.7106684,24.5606684
01/07/2001,AMZ01,297.5218303,298.3445306,25.1945306
01/08/2001,AMZ01,298.8994398,298.5461578,25.3961578
01/09/2001,AMZ01,299.4717655,297.8284262,24.6784262
01/10/2001,AMZ01,300.6359818,298.4692127,25.3192127
01/11/2001,AMZ01,300.6402245,298.8236476,25.6736476
01/12/2001,AMZ01,300.2879768,299.7441011,26.5941011
01/01/2002,AMZ01,297.8881679,298.7359081,25.5859081
01/02/2002,AMZ01,297.339168,298.4163432,25.2663432
01/03/2002,AMZ01,297.6115044,298.5383951,25.3883951
01/04/2002,AMZ01,297.5118525,298.4363729,25.2863729
01/05/2002,AMZ01,297.6745721,298.6352715,25.4852715
01/06/2002,AMZ01,297.2815436,298.2456604,25.0956604
01/07/2002,AMZ01,298.249858,299.0725583,25.9225583
01/08/2002,AMZ01,299.1127651,298.7594831,25.6094831
01/09/2002,AMZ01,300.3184265,298.6750872,25.5250872
01/10/2002,AMZ01,300.6203951,298.453626,25.303626
01/11/2002,AMZ01,300.244961,298.4283841,25.2783841
01/12/2002,AMZ01,298.4652655,297.9213898,24.7713898
01/01/2003,AMZ01,298.5008651,299.3486053,26.1986053
01/02/2003,AMZ01,297.3873237,298.4644989,25.3144989
01/03/2003,AMZ01,297.9490454,298.8759361,25.7259361
01/04/2003,AMZ01,297.4475049,298.3720253,25.2220253
01/05/2003,AMZ01,297.5169188,298.4776182,25.3276182
01/06/2003,AMZ01,297.6725559,298.6366727,25.4866727
01/07/2003,AMZ01,297.6775093,298.5002096,25.3502096
01/08/2003,AMZ01,298.7527553,298.3994733,25.2494733
01/09/2003,AMZ01,300.0677042,298.4243649,25.2743649
01/10/2003,AMZ01,300.4444325,298.2776634,25.1276634
01/11/2003,AMZ01,300.4271288,298.6105519,25.4605519
01/12/2003,AMZ01,299.7459791,299.2021034,26.0521034
01/01/2004,AMZ01,298.5548344,299.4025746,26.2525746
01/02/2004,AMZ01,297.4327489,298.5099241,25.3599241
01/03/2004,AMZ01,297.3134324,298.2403231,25.0903231
01/04/2004,AMZ01,297.8926723,298.8171927,25.6671927
01/05/2004,AMZ01,297.8574573,298.8181567,25.6681567
01/06/2004,AMZ01,297.3230383,298.2871551,25.1371551
