region,date,TWSrec_mm
AMZ01,15/10/2004,61.98383286
AMZ01,15/11/2004,41.81527455
AMZ01,15/12/2004,-0.234180055
AMZ01,15/01/2005,-28.48170088
AMZ01,15/02/2005,8.492697721
AMZ01,15/03/2005,35.90099378
AMZ01,15/04/2005,49.2622093
AMZ01,15/05/2005,55.71546568
AMZ01,15/06/2005,23.39072371
AMZ01,15/07/2005,7.963783908
AMZ01,15/08/2005,4.339069134
AMZ01,15/09/2005,-5.30938682
AMZ01,15/10/2005,-14.16053657
AMZ01,15/11/2005,-23.00895327
AMZ01,15/12/2005,28.12964577
AMZ01,15/01/2006,126.0703277
AMZ01,15/02/2006,133.8543322
AMZ01,15/03/2006,102.1177923
AMZ01,15/04/2006,100.276188
AMZ01,15/05/2006,151.0419633
AMZ01,15/06/2006,189.5384433
AMZ01,15/07/2006,181.8445489
AMZ01,15/08/2006,156.6643485
AMZ01,15/09/2006,120.8018899
AMZ01,15/10/2006,92.89868614
AMZ01,15/11/2006,95.37307856
AMZ01,15/12/2006,94.72414186
AMZ01,15/01/2007,42.01436921
AMZ01,15/02/2007,-45.69731647
AMZ01,15/03/2007,-10.77956452
AMZ01,15/04/2007,37.42061088
AMZ01,15/05/2007,73.89045772
AMZ01,15/06/2007,74.55388797
AMZ01,15/07/2007,62.32130952
AMZ01,15/08/2007,61.46227329
AMZ01,15/09/2007,63.45534208
AMZ01,15/10/2007,74.13069204
AMZ01,15/11/2007,69.60915739
AMZ01,15/12/2007,116.855989
AMZ01,15/01/2008,129.4219517
AMZ01,15/02/2008,116.2884752
AMZ01,15/03/2008,121.6933461
AMZ01,15/04/2008,109.2632331
AMZ01,15/05/2008,139.0595287
AMZ01,15/06/2008,177.8776875
AMZ01,15/07/2008,174.3393688
AMZ01,15/08/2008,151.9800277
AMZ01,15/09/2008,139.3977972
AMZ01,15/10/2008,138.529721
AMZ01,15/11/2008,113.6609618
AMZ01,15/12/2008,131.5337536
AMZ01,15/01/2009,156.1151852
AMZ01,15/02/2009,184.2581763
AMZ01,15/03/2009,199.7631273
AMZ01,15/04/2009,183.2764754
AMZ01,15/05/2009,101.850391
AMZ01,15/06/2009,170.6556385
AMZ01,15/07/2009,164.9305382
AMZ01,15/08/2009,114.3011834
AMZ01,15/09/2009,76.00124736
AMZ01,15/10/2009,54.24479268
AMZ01,15/11/2009,38.73542871
AMZ01,15/12/2009,27.17018887
AMZ01,15/01/2010,10.14309181
AMZ01,15/02/2010,-20.59405279
AMZ01,15/03/2010,-101.9106362
AMZ01,15/04/2010,-71.61586596
AMZ01,15/05/2010,-36.1452684
AMZ01,15/06/2010,-41.01030177
AMZ01,15/07/2010,-26.70542494
AMZ01,15/08/2010,8.392669554
AMZ01,15/09/2010,35.4045667
AMZ01,15/10/2010,32.33145804
AMZ01,15/11/2010,55.81150748
AMZ01,15/12/2010,97.28767779
AMZ01,15/01/2011,130.3196543
